time [ms],B1 [uT]
-0.797797797797798+0i,-0.0206718705016399+0.052447280052185i
-0.795795795795796+0i,-0.0391980077600337+0.0377540416930915i
-0.793793793793794+0i,-0.0494622373191527+0.0173812158774626i
-0.791791791791792+0i,-0.0501807961942152-0.0045682819996233i
-0.78978978978979+0i,-0.0419338270936451-0.0239817233895643i
-0.787787787787788+0i,-0.026932019940577-0.037519009826675i
-0.785785785785786+0i,-0.0084814639034153-0.0431971256782093i
-0.783783783783784+0i,0.0097308101893468-0.0406724406203188i
-0.781781781781782+0i,0.0243783922068137-0.0311823477947532i
-0.77977977977978+0i,0.0331143087647753-0.017178272320179i
-0.777777777777778+0i,0.034949977645272-0.0017429704886322i
-0.775775775775776+0i,0.0303324323657193+0.0120758514873708i
-0.773773773773774+0i,0.020923450539176+0.0218734744615512i
-0.771771771771772+0i,0.0091459861404104+0.0263154432869735i
-0.76976976976977+0i,-0.0023914342539218+0.0253065889552861i
-0.767767767767768+0i,-0.0114618545716831+0.0198832239471151i
-0.765765765765766+0i,-0.016656949057276+0.0118703238947523i
-0.763763763763764+0i,-0.0176070598541975+0.0033943035821294i
-0.761761761761762+0i,-0.0149494331601506-0.0036309213264812i
-0.75975975975976+0i,-0.010067636056953-0.0079267170957621i
-0.757757757757758+0i,-0.00467569707047611-0.0090894662825174i
-0.755755755755756+0i,-0.00035291745547677-0.00760106681266529i
-0.753753753753754+0i,0.0018572231694741-0.00461882301757201i
-0.751751751751752+0i,0.00168926326450312-0.00160482631772529i
-0.74974974974975+0i,-3.15653140832366e-04+1.08492988191288e-04i
-0.747747747747748+0i,-0.00299729833351299-0.00029362359510302i
-0.745745745745746+0i,-0.0049301630258381-0.00286462562520629i
-0.743743743743744+0i,-0.00485324850798774-0.00685998778285319i
-0.741741741741742+0i,-0.002066288959151-0.0109198545301023i
-0.73973973973974+0i,0.0033106526496913-0.0134296472529436i
-0.737737737737738+0i,0.0102862020298876-0.0129725298536071i
-0.735735735735736+0i,0.0171784359285981-0.0087622938497667i
-0.733733733733734+0i,0.0219947931294606-0.0009455703240757i
-0.731731731731732+0i,0.0229286188627018+0.0093111235991106i
-0.72972972972973+0i,0.0188573769102177+0.0199864870385508i
-0.727727727727728+0i,0.0097206083466602+0.0286004517559249i
-0.725725725725726+0i,-0.0033232168424809+0.0327638571747161i
-0.723723723723724+0i,-0.0180163927275355+0.0307635304865657i
-0.721721721721722+0i,-0.0313931254919693+0.0220484547158525i
-0.71971971971972+0i,-0.0403743467813116+0.007496306298917i
-0.717717717717718+0i,-0.0424474449458703-0.0106187542098255i
-0.715715715715716+0i,-0.0362848372110578-0.0289744465352141i
-0.713713713713714+0i,-0.022158799452834-0.0438131176962627i
-0.711711711711712+0i,-0.0020450620910801-0.0517052461278446i
-0.70970970970971+0i,0.0206316799137458-0.0503094020337117i
-0.707707707707708+0i,0.0415828406158704-0.0389647497511013i
-0.705705705705706+0i,0.0564713312311808-0.0189772757105457i
-0.703703703703704+0i,0.0618014587326836+0.0064828721940485i
-0.701701701701702+0i,0.055701903015703+0.032878622026521i
-0.6996996996997+0i,0.0384315318603313+0.0551210561933134i
-0.697697697697698+0i,0.012485287888615+0.0685547280584513i
-0.695695695695696+0i,-0.0177470203739641+0.0699216843500731i
-0.693693693693694+0i,-0.0467268501122509+0.0581060962606573i
-0.691691691691692+0i,-0.0687905689026537+0.0344953176700982i
-0.68968968968969+0i,-0.0792598219138735+0.002862461796817i
-0.687687687687688+0i,-0.075420291297266-0.0312323969154454i
-0.685685685685686+0i,-0.0571660227491762-0.0614283220444366i
-0.683683683683684+0i,-0.0271637416406962-0.0817604352355321i
-0.681681681681682+0i,0.0095192796964926-0.087840638419187i
-0.67967967967968+0i,0.046275905380431-0.0777879532362996i
-0.677677677677678+0i,0.0761613254697865-0.0527136615538672i
-0.675675675675676+0i,0.0932158311205104-0.0166462353548324i
-0.673673673673674+0i,0.0936543622781275+0.0241131541674088i
-0.671671671671672+0i,0.0766851473331754+0.0621021014302796i
-0.66966966966967+0i,0.0447834290713781+0.0900774287191219i
-0.667667667667668+0i,0.00334648566863+0.102406748376726i
-0.665665665665666+0i,-0.0402256999293396+0.0962019305814155i
-0.663663663663664+0i,-0.077866423163875+0.0719663806600424i
-0.661661661661662+0i,-0.102351094704726+0.033615041306345i
-0.65965965965966+0i,-0.108693984474316-0.012156767915171i
-0.657657657657658+0i,-0.0951610676124993-0.0570542818457151i
-0.655655655655656+0i,-0.0636935085664134-0.0927035120250487i
-0.653653653653654+0i,-0.019644306803311-0.112229096953783i
-0.651651651651652+0i,0.02913973124943-0.111589656503363i
-0.64964964964965+0i,0.0737319274016202-0.0904096441972736i
-0.647647647647648+0i,0.10577789644546-0.052137111771951i
-0.645645645645646+0i,0.119076824913424-0.003482115495608i
-0.643643643643644+0i,0.110789729376669+0.046772831682007i
-0.641641641641642+0i,0.0820377641805492+0.0893770237326263i
-0.63963963963964+0i,0.037765575282866+0.116334110869171i
-0.637637637637638+0i,-0.014117413934523+0.122418682431734i
-0.635635635635636+0i,-0.064167177581573+0.106196459432926i
-0.633633633633634+0i,-0.103145065933898+0.070347604617914i
-0.631631631631632+0i,-0.123743289603044+0.021222224158867i
-0.62962962962963+0i,-0.121970065638302-0.032298009117294i
-0.627627627627628+0i,-0.0979291970956924-0.0804256384083381i
-0.625625625625626+0i,-0.055840730723482-0.114279462845553i
-0.623623623623624+0i,-0.003291578088361-0.127543413499014i
-0.621621621621622+0i,0.050149345753101-0.117658841443867i
-0.61961961961962+0i,0.0946956533040298-0.0863226373952811i
-0.617617617617618+0i,0.122158392639698-0.03919333272633i
-0.615615615615616+0i,0.127470693429298+0.015143552442571i
-0.613613613613614+0i,0.109634813591863+0.066759518645242i
-0.611611611611612+0i,0.071912319770851+0.106220707960028i
-0.60960960960961+0i,0.021220548151247+0.126334861381292i
-0.607607607607608+0i,-0.033151830166781+0.123480033734764i
-0.605605605605606+0i,-0.0812689070837704+0.0982663296651256i
-0.603603603603604+0i,-0.114387425500287+0.055407918814277i
-0.601601601601602+0i,-0.12656744776742+0.002831697949733i
-0.5995995995996+0i,-0.115753108044706-0.049807262152131i
-0.597597597597598+0i,-0.0841239132846585-0.0929223078664282i
-0.595595595595596+0i,-0.037655593249561-0.118765400738063i
-0.593593593593594+0i,0.01502116123889-0.122839701064232i
-0.591591591591592+0i,0.064244119592532-0.104693267836932i
-0.58958958958959+0i,0.101116235581854-0.067951560069043i
-0.587587587587588+0i,0.11913726171855-0.019591329173421i
-0.585585585585586+0i,0.115366772270695+0.031398518806902i
-0.583583583583584+0i,0.0909072532397474+0.075709712992015i
-0.581581581581582+0i,0.050627070674886+0.105438496667748i
-0.57957957957958+0i,0.002187785510021+0.115516951246486i
-0.577577577577578+0i,-0.045429383288264+0.104588568200288i
-0.575575575575576+0i,-0.0836118766691386+0.0751744439652855i
-0.573573573573574+0i,-0.105697523275555+0.033113466545229i
-0.571571571571572+0i,-0.108154858194555-0.013602410427287i
-0.56956956956957+0i,-0.091149485691667-0.056364686843916i
-0.567567567567568+0i,-0.0584051320003201-0.0875582471494634i
-0.565565565565566+0i,-0.016404103663052-0.101939487114017i
-0.563563563563564+0i,0.0269036897734921-0.0975291599438674i
-0.561561561561562+0i,0.0636249296888853-0.0758655655876925i
-0.559559559559559+0i,0.087384824945042-0.0415899733319703i
-0.557557557557558+0i,0.0944518749317092-0.0014645314784777i
-0.555555555555556+0i,0.0843235233180654+0.0369715643506785i
-0.553553553553554+0i,0.0596806587266819+0.0668391279069177i
-0.551551551551552+0i,0.0257433430854961+0.0831718691019554i
-0.549549549549549+0i,-0.0108255897685799+0.0837529609625502i
-0.547547547547548+0i,-0.043240407761157+0.0693921078433118i
-0.545545545545546+0i,-0.0658725588893943+0.0436138749756104i
-0.543543543543544+0i,-0.0752458600893318+0.0118437418732789i
-0.541541541541542+0i,-0.0705674162786742-0.0197271190034671i
-0.539539539539539+0i,-0.0537135765426771-0.0453620383874279i
-0.537537537537538+0i,-0.0287011505715213-0.0608413846522882i
-0.535535535535536+0i,-0.000774653227661-0.0641670426051523i
-0.533533533533534+0i,0.0246893300300853-0.0557891055307824i
-0.531531531531532+0i,0.043232604451577-0.0383365012059756i
-0.529529529529529+0i,0.0521129445064439-0.0159341836490723i
-0.527527527527528+0i,0.0507028832435963+0.006730685767431i
-0.525525525525526+0i,0.0404328916314788+0.0253880962798751i
-0.523523523523524+0i,0.0243191101807703+0.0370058838377307i
-0.521521521521522+0i,0.0062002255136394+0.0402913071419642i
-0.519519519519519+0i,-0.010137274171364+0.0357886026150647i
-0.517517517517518+0i,-0.021751871732298+0.0255779534548365i
-0.515515515515516+0i,-0.0270918479682559+0.0126667321948622i
-0.513513513513514+0i,-0.0261885144659691+0.0002262581520476i
-0.511511511511512+0i,-0.0204767202390253-0.009146101198831i
-0.509509509509509+0i,-0.0123056793569602-0.0139736146330241i
-0.507507507507508+0i,-0.004270512620192-0.0141401604566812i
-0.505505505505506+0i,0.0014690704632496-0.0107827883619622i
-0.503503503503503+0i,0.00371917960463253-0.00587823770098154i
-0.501501501501502+0i,0.00250756293726352-0.00163559533075618i
-0.499499499499499+0i,-9.90857368754223e-04+1.48998215434605e-04i
-0.497497497497497+0i,-0.00483424109361386-0.00138726168274132i
-0.495495495495496+0i,-0.00690136028644768-0.00590995966241321i
-0.493493493493493+0i,-0.0055370056372576-0.0119493850332818i
-0.491491491491492+0i,-0.0000899677417816-0.0172784088646122i
-0.489489489489489+0i,0.0087986076988956-0.0195185376955302i
-0.487487487487487+0i,0.0192413412634939-0.0168277210031414i
-0.485485485485486+0i,0.028491050558936-0.0084980633826804i
-0.483483483483483+0i,0.0335903711641975+0.004693918862854i
-0.481481481481482+0i,0.0321395928005275+0.0204896394685527i
-0.479479479479479+0i,0.0230010968292224+0.03552934946697i
