time [ms],B1 [uT]
-0.0910910910910911+0i,0.629986471862809-0.485709812356483i
-0.0890890890890891+0i,0.782998672235412-0.181753368933729i
-0.0870870870870871+0i,0.795723330022522+0.161819428204609i
-0.0850850850850851+0i,0.662954664620001+0.482696768731869i
-0.0830830830830831+0i,0.406182816797915+0.721496178254888i
-0.0810810810810811+0i,0.070150774399662+0.832788553172957i
-0.0790790790790791+0i,-0.284959820528751+0.793751437064568i
-0.0770770770770771+0i,-0.5943461894754+0.608801115244473i
-0.075075075075075+0i,-0.800453738775831+0.309270726662921i
-0.0730730730730731+0i,-0.86371527913816-0.051894068083169i
-0.0710710710710711+0i,-0.770150379950907-0.409524957624789i
-0.0690690690690691+0i,-0.534364426646314-0.698035516250323i
-0.0670670670670671+0i,-0.197317147595267-0.863493891046884i
-0.065065065065065+0i,0.180808941264118-0.87373329360766i
-0.0630630630630631+0i,0.53139566156688-0.724599624347956i
-0.061061061061061+0i,0.789890960248949-0.441123503625581i
-0.0590590590590591+0i,0.907738623033273-0.07332725878814i
-0.0570570570570571+0i,0.861523246536166+0.312632585076406i
-0.055055055055055+0i,0.657603707748736+0.646413398669101i
-0.0530530530530531+0i,0.331321134193917+0.866358513615189i
-0.051051051051051+0i,-0.059139996011431+0.930928411454186i
-0.0490490490490491+0i,-0.44316883472188+0.82656411662534i
-0.0470470470470471+0i,-0.750550777516284+0.570490911526372i
-0.045045045045045+0i,-0.924357525780814+0.207889196014399i
-0.0430430430430431+0i,-0.931528785241152-0.196105810081808i
-0.041041041041041+0i,-0.76917176182029-0.568153659783862i
-0.039039039039039+0i,-0.46537602985759-0.840079185414657i
-0.0370370370370371+0i,-0.074342670021575-0.961416173126585i
-0.035035035035035+0i,0.333325762090058-0.908807049952822i
-0.0330330330330331+0i,0.683427681997639-0.690501724095893i
-0.031031031031031+0i,0.911725922301761-0.345088486472321i
-0.029029029029029+0i,0.975782466576236+0.06535310191869i
-0.0270270270270271+0i,0.862875357370356+0.466457655491858i
-0.025025025025025+0i,0.592515768731439+0.785106422515495i
-0.0230230230230231+0i,0.213068684099435+0.962813613211462i
-0.021021021021021+0i,-0.206936187346224+0.966505530559526i
-0.019019019019019+0i,-0.591235500345384+0.794697846230026i
-0.0170170170170171+0i,-0.869740572543771+0.477913329284611i
-0.015015015015015+0i,-0.991375451942294+0.073236978222039i
-0.0130130130130131+0i,-0.933483235603058-0.34601610874943i
-0.011011011011011+0i,-0.706061240728896-0.703641848915146i
-0.00900900900900903+0i,-0.350030674688274-0.93445899404878i
-0.00700700700700696+0i,0.070159028175787-0.996240913687464i
-0.005005005005005+0i,0.478248704525085-0.877473810883873i
-0.00300300300300305+0i,0.800070727690102-0.599509992327129i
-0.00100100100100098+0i,0.977087921338644-0.212712133558042i
0.00100100100100109+0i,0.977087921338639+0.212712133558065i
0.00300300300300305+0i,0.800070727690102+0.599509992327129i
0.005005005005005+0i,0.478248704525085+0.877473810883873i
0.00700700700700696+0i,0.070159028175787+0.996240913687464i
0.00900900900900892+0i,-0.350030674688252+0.934458994048789i
0.0110110110110111+0i,-0.706061240728913+0.703641848915129i
0.0130130130130131+0i,-0.933483235603058+0.34601610874943i
0.015015015015015+0i,-0.991375451942294-0.073236978222039i
0.017017017017017+0i,-0.869740572543782-0.477913329284591i
0.0190190190190189+0i,-0.591235500345403-0.794697846230012i
0.0210210210210211+0i,-0.206936187346202-0.966505530559531i
0.0230230230230231+0i,0.213068684099435-0.962813613211462i
0.025025025025025+0i,0.592515768731439-0.785106422515495i
0.027027027027027+0i,0.862875357370344-0.466457655491879i
0.0290290290290289+0i,0.975782466576235-0.065353101918714i
0.0310310310310311+0i,0.911725922301752+0.345088486472343i
0.0330330330330331+0i,0.683427681997639+0.690501724095893i
0.035035035035035+0i,0.333325762090058+0.908807049952822i
0.037037037037037+0i,-0.074342670021553+0.961416173126587i
0.0390390390390389+0i,-0.465376029857569+0.840079185414669i
0.0410410410410411+0i,-0.769171761820302+0.568153659783844i
0.0430430430430431+0i,-0.931528785241152+0.196105810081808i
0.045045045045045+0i,-0.924357525780814-0.207889196014399i
0.047047047047047+0i,-0.750550777516297-0.570490911526355i
0.0490490490490489+0i,-0.443168834721899-0.82656411662533i
0.0510510510510511+0i,-0.05913999601141-0.930928411454188i
0.0530530530530531+0i,0.331321134193917-0.866358513615189i
0.055055055055055+0i,0.657603707748736-0.646413398669101i
0.057057057057057+0i,0.861523246536158-0.312632585076427i
0.059059059059059+0i,0.907738623033276+0.073327258788119i
0.0610610610610611+0i,0.789890960248939+0.441123503625599i
0.0630630630630631+0i,0.53139566156688+0.724599624347956i
0.065065065065065+0i,0.180808941264118+0.87373329360766i
0.067067067067067+0i,-0.197317147595245+0.86349389104689i
0.069069069069069+0i,-0.534364426646299+0.698035516250336i
0.0710710710710711+0i,-0.770150379950907+0.409524957624789i
0.0730730730730731+0i,-0.86371527913816+0.051894068083169i
0.075075075075075+0i,-0.800453738775831-0.309270726662921i
0.077077077077077+0i,-0.594346189475413-0.608801115244461i
0.079079079079079+0i,-0.284959820528771-0.793751437064561i
0.0810810810810811+0i,0.070150774399662-0.832788553172957i
0.0830830830830831+0i,0.406182816797915-0.721496178254888i
0.0850850850850851+0i,0.662954664620001-0.482696768731869i
0.087087087087087+0i,0.795723330022519-0.161819428204629i
0.089089089089089+0i,0.782998672235417+0.181753368933709i
0.0910910910910911+0i,0.629986471862809+0.485709812356483i
0.0930930930930931+0i,0.367116273463974+0.696150709907609i
0.0950950950950951+0i,0.044017938311194+0.777177519477761i
0.097097097097097+0i,-0.279865034089122+0.717015416056531i
0.0990990990990992+0i,-0.546246927519612+0.529627473474532i
0.101101101101101+0i,-0.708524622430315+0.251620992151738i
0.103103103103103+0i,-0.739948848147025-0.06488896145102i
0.105105105105105+0i,-0.638005999470278-0.362069722317473i
0.107107107107107+0i,-0.424298584936224-0.586971886839614i
0.109109109109109+0i,-0.140050736496717-0.700991589699138i
0.111111111111111+0i,0.161838570451497-0.686498201907745i
0.113113113113113+0i,0.426663232143694-0.549489625464045i
0.115115115115115+0i,0.607853671817567-0.317890800122566i
0.117117117117117+0i,0.675183556803502-0.035916637219076i
0.119119119119119+0i,0.619790320398954+0.244371019649696i
0.121121121121121+0i,0.455180308658057+0.472699503341076i
0.123123123123123+0i,0.214145382424353+0.609626588052218i
0.125125125125125+0i,-0.057732841411121+0.633356526301237i
0.127127127127127+0i,-0.310709944638141+0.543152788263274i
0.129129129129129+0i,-0.500002551166546+0.358825339929936i
0.131131131131131+0i,-0.593731536934314+0.116503432235613i
0.133133133133133+0i,-0.578273046007131-0.138421952022702i
0.135135135135135+0i,-0.460123021512607-0.359810929300395i
0.137137137137137+0i,-0.26404684452556-0.509144231305422i
0.139139139139139+0i,-0.027972966984042-0.562227882963833i
0.141141141141141+0i,0.204329285715562-0.513065795974133i
0.143143143143143+0i,0.391376230104405-0.374290508227186i
0.145145145145145+0i,0.501389630329951-0.174193607933248i
0.147147147147147+0i,0.517680629921862+0.048980807395514i
0.149149149149149+0i,0.441088967343415+0.254337891818187i
0.151151151151151+0i,0.289141651163878+0.405835907428288i
0.153153153153153+0i,0.0922097241181+0.478613368881774i
0.155155155155155+0i,-0.112517557683975+0.463028693685816i
0.157157157157157+0i,-0.288052369956999+0.365764572015921i
0.159159159159159+0i,-0.404297075045184+0.207914292098199i
0.161161161161161+0i,-0.443191414490841+0.020525694356092i
0.163163163163163+0i,-0.401440836847852-0.16147314123862i
0.165165165165165+0i,-0.290430915807953-0.305783003924013i
0.167167167167167+0i,-0.133468391896436-0.388464454373406i
0.169169169169169+0i,0.039023578246291-0.397874065945945i
0.171171171171171+0i,0.195378629251271-0.336166276334549i
0.173173173173173+0i,0.308498571137264-0.218200209285751i
0.175175175175175+0i,0.360536715115219-0.068178431160638i
0.177177177177177+0i,0.345646542445604+0.085250831281453i
0.179179179179179+0i,0.270387072800668+0.214447056865793i
0.181181181181181+0i,0.151831697858357+0.297750917939556i
0.183183183183183+0i,0.013851933328691+0.323084137194441i
0.185185185185185+0i,-0.117636956735955+0.289584054741579i
0.187187187187187+0i,-0.219529463667507+0.207079160251198i
0.189189189189189+0i,-0.275575669182343+0.0936258005099i
0.191191191191191+0i,-0.278913892136281-0.028322843052465i
0.193193193193193+0i,-0.232708335390122-0.136319968555308i
0.195195195195195+0i,-0.148888294174507-0.212043223519379i
0.197197197197197+0i,-0.045343603917605-0.2443744800256i
0.199199199199199+0i,0.057798473110483-0.230929682139473i
0.201201201201201+0i,0.142053924909652-0.177852361837184i
0.203203203203203+0i,0.193876922094821-0.098026320829372i
0.205205205205205+0i,0.206784991060877-0.008154726684695i
0.207207207207207+0i,0.181992575749953+0.07465914891783i
0.209209209209209+0i,0.127539437457941+0.136140718660013i
0.211211211211211+0i,0.056192047989586+0.167277064144427i
0.213213213213213+0i,-0.01738488328679+0.165545082289302i
0.215215215215215+0i,-0.079582123393927+0.134789641303798i
0.217217217217217+0i,-0.120338888195982+0.083881936061632i
0.219219219219219+0i,-0.134722633743507+0.024519688894573i
0.221221221221221+0i,-0.123358121317196-0.031325151983905i
0.223223223223223+0i,-0.0917164212988368-0.0737726492171275i
0.225225225225225+0i,-0.0485039131504501-0.0967546068229386i
0.227227227227227+0i,-0.0035564253243019-0.0987939577419566i
0.229229229229229+0i,0.0342854827268009-0.0827656677137021i
0.231231231231231+0i,0.0588764633588054-0.0547784466360152i
0.233233233233233+0i,0.0677207362949709-0.0224905022798043i
0.235235235235235+0i,0.0620424200646677+0.0067308336304596i
0.237237237237237+0i,0.0460335470278867+0.0273925218873006i
0.239239239239239+0i,0.0255159072539131+0.0368748544200964i
0.241241241241241+0i,0.0063656153701293+0.0356702479028943i
0.243243243243243+0i,-0.0069208586763265+0.0268673440713825i
0.245245245245245+0i,-0.0121960411187869+0.0150563784025624i
0.247247247247247+0i,-0.00996806185279084+0.00495433435673781i
0.249249249249249+0i,-3.01040800203235e-03+9.802457855179e-05i
0.251251251251251+0i,0.00459417978474646+0.00192163001185807i
0.253253253253253+0i,0.00871542331830745+0.00943214415987824i
0.255255255255255+0i,0.0064172234306234+0.0195468368389187i
0.257257257257257+0i,-0.0031344939980371+0.0279961039403939i
0.259259259259259+0i,-0.0183269670899025+0.0305595594696542i
0.261261261261261+0i,-0.0354106055123582+0.0243233879253162i
0.263263263263263+0i,-0.0493973067961539+0.0086404602231889i
0.265265265265265+0i,-0.0553375093027283-0.0144573226844399i
0.267267267267267+0i,-0.0496711427084205-0.0405180138828719i
0.269269269269269+0i,-0.0313220356452455-0.0635660722811885i
0.271271271271271+0i,-0.002255819348735-0.0774499887785708i
0.273273273273273+0i,0.0326625204212234-0.077341843514541i
0.275275275275275+0i,0.0665186151796096-0.0610421313994789i
0.277277277277277+0i,0.0917504521158531-0.0297731749397719i
0.279279279279279+0i,0.10181309514899+0.011753166409378i
0.281281281281281+0i,0.0927446616892584+0.0560539185444836i
0.283283283283283+0i,0.0642765856376659+0.0942671775219909i
0.285285285285285+0i,0.020214748379093+0.117951240392127i
0.287287287287287+0i,-0.032035501038834+0.12092187023063i
0.289289289289289+0i,-0.082747861971582+0.100732921554851i
0.291291291291291+0i,-0.121729432645018+0.059463488064197i
0.293293293293293+0i,-0.140389978909446+0.003606770024264i
0.295295295295295+0i,-0.133603424744807-0.056963724202916i
0.297297297297297+0i,-0.100963721144357-0.110782762826077i
0.299299299299299+0i,-0.047146158133573-0.147004681418624i
0.301301301301301+0i,0.018742018668514-0.157604203698905i
0.303303303303303+0i,0.084735054046321-0.13911842325989i
0.305305305305305+0i,0.138227732691082-0.093557893440998i
0.307307307307307+0i,0.168420330823296-0.028269522495567i
0.309309309309309+0i,0.168509313237752+0.045262279462925i
0.311311311311311+0i,0.137178369678122+0.113477095717625i
0.313313313313313+0i,0.079069748044347+0.163284745609676i
0.315315315315315+0i,0.004108801765537+0.184610305673249i
0.317317317317317+0i,-0.074221886807409+0.17243793561379i
0.319319319319319+0i,-0.141352484758752+0.127938531061736i
0.321321321321321+0i,-0.184379298133751+0.058435435288707i
0.323323323323323+0i,-0.194573892111842-0.023815985063122i
0.325325325325325+0i,-0.16915561307258-0.103827976507531i
0.327327327327327+0i,-0.111967796775183-0.166657074087572i
0.329329329329329+0i,-0.03290343218334-0.20023529254094i
0.331331331331331+0i,0.05383470781509-0.197712695719797i
0.333333333333333+0i,0.132327753061427-0.158852888292361i
0.335335335335335+0i,0.187906785479579-0.090197923682746i
0.337337337337337+0i,0.209930829239833-0.003951462825332i
0.339339339339339+0i,0.193844611118537+0.084225699616191i
0.341341341341341+0i,0.142115102130701+0.158102820192368i
0.343343343343343+0i,0.063855611450933+0.203908997782676i
0.345345345345345+0i,-0.026805268586892+0.212932699345169i
0.347347347347347+0i,-0.113312886160549+0.183194936683888i
0.349349349349349+0i,-0.179752310222459+0.11987233451426i
0.351351351351351+0i,-0.21381528932786+0.034381636991271i
0.353353353353353+0i,-0.209108557012739-0.057709359677844i
0.355355355355355+0i,-0.166365962130999-0.139556388761979i
0.357357357357357+0i,-0.093332882463541-0.1961608316036i
0.359359359359359+0i,-0.003341817869586-0.217153436702512i
0.361361361361361+0i,0.087154819680468-0.198716958934878i
0.363363363363363+0i,0.161632031092282-0.1442874467045i
0.365365365365365+0i,0.206548185201363-0.063904425472175i
0.367367367367367+0i,0.213837735682097+0.027665151110578i
0.369369369369369+0i,0.182376621401927+0.113674078760049i
0.371371371371371+0i,0.118151336797774+0.178495916311161i
0.373373373373373+0i,0.03310754402478+0.210498864977036i
0.375375375375375+0i,-0.057097943626156+0.204157889322803i
0.377377377377377+0i,-0.136013980034343+0.161017303335777i
0.379379379379379+0i,-0.18943115931804+0.089334798954593i
0.381381381381381+0i,-0.207970497845973+0.002486510875284i
0.383383383383383+0i,-0.188747840269187-0.083556152061883i
0.385385385385385+0i,-0.135815623429926-0.153197068108712i
0.387387387387387+0i,-0.059316134126904-0.194074904850341i
0.389389389389389+0i,0.026477739893539-0.199281528456444i
0.391391391391391+0i,0.105852877218341-0.168536950430274i
0.393393393393393+0i,0.164565393377052-0.108119817334994i
0.395395395395395+0i,0.192424877287174-0.029588371883532i
0.397397397397397+0i,0.185079555983512+0.052447836347774i
0.399399399399399+0i,0.144686799511366+0.123072817658189i
0.401401401401401+0i,0.079367904802805+0.169805078861283i
0.403403403403403+0i,0.001575313234419+0.184825831141606i
0.405405405405405+0i,-0.074299269703763+0.166292724378142i
0.407407407407407+0i,-0.134613212303895+0.118517542246529i
0.409409409409409+0i,-0.168950988001673+0.051003948143725i
0.411411411411411+0i,-0.17193734217654-0.023445493741872i
0.413413413413413+0i,-0.14406740450535-0.091175378150865i
0.415415415415415+0i,-0.091428202007775-0.140205999510155i
0.417417417417417+0i,-0.024397037487229-0.162371927514794i
0.419419419419419+0i,0.044408878388481-0.154685341884291i
0.421421421421421+0i,0.102525500841047-0.11969604548823i
0.423423423423423+0i,0.139920624477993-0.064815468271428i
0.425425425425425+0i,0.15073786033215-0.000767344286213i
0.427427427427427+0i,0.134200603853853+0.060514020966829i
0.429429429429429+0i,0.094539484163012+0.108124781619214i
0.431431431431431+0i,0.039995503417713+0.134147995598118i
0.433433433433433+0i,-0.018876935497169+0.134971535164399i
0.435435435435436+0i,-0.071259895203685+0.111748000014012i
0.437437437437437+0i,-0.108075148203246+0.06994816955765i
0.439439439439439+0i,-0.123567101525149+0.018132960374185i
0.441441441441441+0i,-0.116187714006523-0.033788639169888i
0.443443443443443+0i,-0.0886507300748914-0.0764627752750948i
0.445445445445446+0i,-0.047186680950392-0.102788034700812i
0.447447447447447+0i,-0.000180889346727-0.109096701354525i
0.449449449449449+0i,0.0435144474220899-0.0956237590743688i
0.451451451451451+0i,0.0762554267085413-0.0662138736300654i
0.453453453453453+0i,0.0929503972761882-0.0273656039283509i
0.455455455455456+0i,0.0918352442827626+0.0131654967091695i
0.457457457457457+0i,0.0745656998118131+0.0479101570595962i
0.459459459459459+0i,0.0456515195493098+0.0710686167601495i
0.461461461461461+0i,0.011384302043625+0.0794764427353514i
0.463463463463463+0i,-0.0214990789247289+0.0729927262122469i
0.465465465465466+0i,-0.0471381291383122+0.0542740248900464i
0.467467467467467+0i,-0.061596532869711+0.0280214028122278i
0.469469469469469+0i,-0.0634482033436865-0.0001125837568619i
0.471471471471471+0i,-0.0538185238635282-0.0247139356041943i
0.473473473473474+0i,-0.0359133327685056-0.0416476156889821i
0.475475475475476+0i,-0.0141704483386042-0.0487485375096282i
0.477477477477477+0i,0.0067629167759903-0.0460486134266255i
0.479479479479479+0i,0.0230010968292224-0.03552934946697i
0.481481481481481+0i,0.0321395928005271-0.0204896394685537i
0.483483483483484+0i,0.0335903711641973-0.0046939188628535i
0.485485485485486+0i,0.028491050558936+0.0084980633826804i
0.487487487487487+0i,0.0192413412634939+0.0168277210031414i
0.489489489489489+0i,0.0087986076988956+0.0195185376955302i
0.491491491491491+0i,-0.0000899677417811+0.0172784088646124i
0.493493493493494+0i,-0.0055370056372577+0.0119493850332816i
0.495495495495496+0i,-0.00690136028644768+0.00590995966241321i
0.497497497497497+0i,-0.00483424109361386+0.00138726168274132i
0.499499499499499+0i,-9.90857368754223e-04-1.48998215434605e-04i
0.501501501501501+0i,0.00250756293726333+0.00163559533075596i
0.503503503503504+0i,0.00371917960463251+0.00587823770098189i
0.505505505505506+0i,0.0014690704632496+0.0107827883619622i
0.507507507507508+0i,-0.004270512620192+0.0141401604566812i
0.509509509509509+0i,-0.0123056793569602+0.0139736146330241i
0.511511511511511+0i,-0.0204767202390249+0.0091461011988312i
0.513513513513514+0i,-0.0261885144659691-0.0002262581520476i
0.515515515515516+0i,-0.0270918479682559-0.0126667321948622i
0.517517517517518+0i,-0.021751871732298-0.0255779534548365i
0.519519519519519+0i,-0.010137274171364-0.0357886026150647i
0.521521521521521+0i,0.0062002255136382-0.0402913071419642i
0.523523523523524+0i,0.0243191101807703-0.0370058838377307i
0.525525525525526+0i,0.0404328916314788-0.0253880962798751i
0.527527527527528+0i,0.0507028832435963-0.006730685767431i
0.529529529529529+0i,0.0521129445064439+0.0159341836490723i
0.531531531531531+0i,0.043232604451578+0.0383365012059743i
0.533533533533534+0i,0.0246893300300853+0.0557891055307824i
0.535535535535536+0i,-0.000774653227661+0.0641670426051523i
0.537537537537538+0i,-0.0287011505715213+0.0608413846522882i
0.539539539539539+0i,-0.0537135765426771+0.0453620383874279i
0.541541541541541+0i,-0.0705674162786735+0.019727119003469i
0.543543543543544+0i,-0.0752458600893318-0.0118437418732789i
0.545545545545546+0i,-0.0658725588893943-0.0436138749756104i
0.547547547547548+0i,-0.043240407761157-0.0693921078433118i
0.549549549549549+0i,-0.0108255897685799-0.0837529609625502i
0.551551551551551+0i,0.0257433430854948-0.0831718691019556i
0.553553553553554+0i,0.0596806587266819-0.0668391279069177i
0.555555555555556+0i,0.0843235233180654-0.0369715643506785i
0.557557557557558+0i,0.0944518749317092+0.0014645314784777i
0.559559559559559+0i,0.087384824945042+0.0415899733319703i
0.561561561561561+0i,0.0636249296888874+0.0758655655876907i
0.563563563563564+0i,0.0269036897734921+0.0975291599438674i
0.565565565565566+0i,-0.016404103663052+0.101939487114017i
0.567567567567568+0i,-0.0584051320003201+0.0875582471494634i
0.56956956956957+0i,-0.091149485691667+0.056364686843916i
0.571571571571571+0i,-0.108154858194554+0.01360241042729i
0.573573573573574+0i,-0.105697523275555-0.033113466545229i
0.575575575575576+0i,-0.0836118766691386-0.0751744439652855i
0.577577577577578+0i,-0.045429383288264-0.104588568200288i
0.57957957957958+0i,0.002187785510021-0.115516951246486i
0.581581581581581+0i,0.050627070674884-0.105438496667749i
0.583583583583584+0i,0.0909072532397474-0.075709712992015i
0.585585585585586+0i,0.115366772270695-0.031398518806902i
0.587587587587588+0i,0.11913726171855+0.019591329173421i
0.58958958958959+0i,0.101116235581854+0.067951560069043i
0.591591591591591+0i,0.064244119592535+0.10469326783693i
0.593593593593594+0i,0.01502116123889+0.122839701064232i
0.595595595595596+0i,-0.037655593249561+0.118765400738063i
0.597597597597598+0i,-0.0841239132846585+0.0929223078664282i
0.5995995995996+0i,-0.115753108044705+0.049807262152135i
0.601601601601601+0i,-0.12656744776742-0.002831697949733i
0.603603603603604+0i,-0.114387425500287-0.055407918814277i
0.605605605605606+0i,-0.0812689070837704-0.0982663296651256i
0.607607607607608+0i,-0.033151830166781-0.123480033734764i
0.60960960960961+0i,0.021220548151247-0.126334861381292i
0.611611611611612+0i,0.071912319770855-0.106220707960025i
0.613613613613614+0i,0.109634813591863-0.066759518645242i
0.615615615615616+0i,0.127470693429298-0.015143552442571i
0.617617617617618+0i,0.122158392639698+0.03919333272633i
0.61961961961962+0i,0.0946956533040323+0.0863226373952785i
0.621621621621622+0i,0.050149345753098+0.117658841443868i
0.623623623623624+0i,-0.003291578088361+0.127543413499014i
0.625625625625626+0i,-0.055840730723482+0.114279462845553i
0.627627627627628+0i,-0.0979291970956924+0.0804256384083381i
0.62962962962963+0i,-0.121970065638301+0.032298009117297i
0.631631631631632+0i,-0.123743289603043-0.021222224158871i
0.633633633633634+0i,-0.103145065933898-0.070347604617914i
0.635635635635636+0i,-0.064167177581573-0.106196459432926i
0.637637637637638+0i,-0.014117413934523-0.122418682431734i
0.63963963963964+0i,0.037765575282863-0.116334110869172i
0.641641641641642+0i,0.0820377641805492-0.0893770237326263i
0.643643643643644+0i,0.110789729376669-0.046772831682007i
0.645645645645646+0i,0.119076824913424+0.003482115495608i
0.647647647647648+0i,0.10577789644546+0.052137111771951i
0.64964964964965+0i,0.0737319274016228+0.0904096441972716i
0.651651651651652+0i,0.02913973124943+0.111589656503363i
0.653653653653654+0i,-0.019644306803311+0.112229096953783i
0.655655655655656+0i,-0.0636935085664134+0.0927035120250487i
0.657657657657658+0i,-0.0951610676124993+0.0570542818457151i
0.65965965965966+0i,-0.108693984474316+0.012156767915174i
0.661661661661662+0i,-0.102351094704726-0.033615041306345i
0.663663663663664+0i,-0.077866423163875-0.0719663806600424i
0.665665665665666+0i,-0.0402256999293396-0.0962019305814155i
0.667667667667668+0i,0.00334648566863-0.102406748376726i
0.66966966966967+0i,0.0447834290713756-0.0900774287191232i
0.671671671671672+0i,0.0766851473331754-0.0621021014302796i
0.673673673673674+0i,0.0936543622781275-0.0241131541674088i
0.675675675675676+0i,0.0932158311205104+0.0166462353548324i
0.677677677677678+0i,0.0761613254697865+0.0527136615538672i
0.67967967967968+0i,0.0462759053804333+0.0777879532362983i
0.681681681681682+0i,0.0095192796964926+0.087840638419187i
0.683683683683684+0i,-0.0271637416406962+0.0817604352355321i
0.685685685685686+0i,-0.0571660227491762+0.0614283220444366i
0.687687687687688+0i,-0.075420291297266+0.0312323969154454i
0.68968968968969+0i,-0.0792598219138737-0.002862461796817i
0.691691691691692+0i,-0.0687905689026537-0.0344953176700982i
0.693693693693694+0i,-0.0467268501122509-0.0581060962606573i
0.695695695695696+0i,-0.0177470203739641-0.0699216843500731i
0.697697697697698+0i,0.012485287888615-0.0685547280584513i
0.6996996996997+0i,0.0384315318603298-0.0551210561933146i
0.701701701701702+0i,0.055701903015703-0.032878622026521i
0.703703703703704+0i,0.0618014587326836-0.0064828721940485i
0.705705705705706+0i,0.0564713312311808+0.0189772757105457i
0.707707707707708+0i,0.0415828406158704+0.0389647497511013i
0.70970970970971+0i,0.0206316799137472+0.0503094020337111i
0.711711711711712+0i,-0.0020450620910801+0.0517052461278446i
0.713713713713714+0i,-0.022158799452834+0.0438131176962627i
0.715715715715716+0i,-0.0362848372110578+0.0289744465352141i
0.717717717717718+0i,-0.0424474449458703+0.0106187542098255i
0.71971971971972+0i,-0.040374346781312-0.0074963062989158i
0.721721721721722+0i,-0.0313931254919693-0.0220484547158525i
0.723723723723724+0i,-0.0180163927275355-0.0307635304865657i
0.725725725725726+0i,-0.0033232168424809-0.0327638571747161i
0.727727727727728+0i,0.0097206083466594-0.0286004517559252i
0.72972972972973+0i,0.0188573769102181-0.0199864870385501i
0.731731731731732+0i,0.0229286188627018-0.0093111235991106i
0.733733733733734+0i,0.0219947931294606+0.0009455703240757i
0.735735735735736+0i,0.0171784359285981+0.0087622938497667i
0.737737737737738+0i,0.0102862020298881+0.0129725298536069i
0.73973973973974+0i,0.0033106526496909+0.0134296472529437i
0.741741741741742+0i,-0.002066288959151+0.0109198545301023i
0.743743743743744+0i,-0.00485324850798774+0.00685998778285319i
0.745745745745746+0i,-0.0049301630258381+0.00286462562520629i
0.747747747747748+0i,-0.00299729833351317+0.00029362359510312i
0.74974974974975+0i,-3.15653140832188e-04-1.08492988191227e-04i
0.751751751751752+0i,0.00168926326450312+0.00160482631772529i
0.753753753753754+0i,0.0018572231694741+0.00461882301757201i
0.755755755755756+0i,-0.00035291745547677+0.00760106681266529i
0.757757757757758+0i,-0.00467569707047577+0.00908946628251737i
0.75975975975976+0i,-0.0100676360569534+0.007926717095762i
0.761761761761762+0i,-0.0149494331601506+0.0036309213264812i
0.763763763763764+0i,-0.0176070598541975-0.0033943035821294i
0.765765765765766+0i,-0.016656949057276-0.0118703238947523i
0.767767767767768+0i,-0.0114618545716831-0.0198832239471149i
0.76976976976977+0i,-0.0023914342539211-0.0253065889552862i
0.771771771771772+0i,0.0091459861404104-0.0263154432869735i
0.773773773773774+0i,0.020923450539176-0.0218734744615512i
0.775775775775776+0i,0.0303324323657193-0.0120758514873708i
0.777777777777778+0i,0.0349499776452721+0.0017429704886312i
0.77977977977978+0i,0.033114308764775+0.01717827232018i
0.781781781781782+0i,0.0243783922068137+0.0311823477947532i
0.783783783783784+0i,0.0097308101893468+0.0406724406203188i
0.785785785785786+0i,-0.0084814639034153+0.0431971256782093i
0.787787787787788+0i,-0.0269320199405758+0.0375190098266757i
0.78978978978979+0i,-0.0419338270936459+0.0239817233895632i
0.791791791791792+0i,-0.0501807961942152+0.0045682819996233i
0.793793793793794+0i,-0.0494622373191527-0.0173812158774626i
0.795795795795796+0i,-0.0391980077600337-0.0377540416930915i
0.797797797797798+0i,-0.0206718705016414-0.0524472800521843i
0.7997997997998+0i,0.0031026216906033-0.0581973784235137i
0.801801801801802+0i,0.0278763895273603-0.0532886314445885i
0.803803803803804+0i,0.0489372769481454-0.0379892921952014i
0.805805805805806+0i,0.0620178767349855-0.0146127920950828i
0.807807807807808+0i,0.0641619026063742+0.0128266361133745i
0.80980980980981+0i,0.0543730213402907+0.0393137234585103i
0.811811811811812+0i,0.0339066084490348+0.0597633087549051i
0.813813813813814+0i,0.0061310112442264+0.0700074145465317i
0.815815815815816+0i,-0.0240318410915035+0.0676448761943151i
0.817817817817818+0i,-0.0509925103549284+0.0525803874412081i
0.81981981981982+0i,-0.0695447143500329+0.0271353276016438i
0.821821821821822+0i,-0.0758804932943815-0.0043065922795346i
0.823823823823824+0i,-0.0683703370702965-0.0360653830015233i
0.825825825825826+0i,-0.0479487607154273-0.0622065676374936i
0.827827827827828+0i,-0.0180183974695038-0.0776647946666085i
0.82982982982983+0i,0.0161227410038079-0.0792340062425019i
0.831831831831832+0i,0.0482332285545023-0.0662292108358592i
0.833833833833834+0i,0.0722857258732415-0.0406838310106786i
0.835835835835836+0i,0.0836124260592887-0.0070333784202663i
0.837837837837838+0i,0.0798183614434115+0.0286655836328129i
0.83983983983984+0i,0.0612826887447463+0.0598415657959873i
0.841841841841842+0i,0.0311438852971875+0.0806344346517297i
0.843843843843844+0i,-0.0052379345509789+0.0870101018317659i
0.845845845845846+0i,-0.0412481929328512+0.0775493558943594i
0.847847847847848+0i,-0.0702374164912415+0.0537556168870124i
0.84984984984985+0i,-0.0867652969314984+0.0198161314540503i
0.851851851851852+0i,-0.0876336612316061-0.0181454003299763i
0.853853853853854+0i,-0.0725101863421481-0.0531893742259988i
