time [seconds],signal [mV]
0.11011011011011+0i,1.04743586458143-0.47411877712788i
0.111111111111111+0i,0.794127020753356-0.259177677722861i
0.112112112112112+0i,1.16817245805832-0.27462763734848i
0.113113113113113+0i,1.08682937838617+0.31139346923i
0.114114114114114+0i,0.943037805225+0.166493169719309i
0.115115115115115+0i,1.20757410043038+0.58561652382194i
0.116116116116116+0i,0.748517677430738+0.788963669936066i
0.117117117117117+0i,0.942263180274947+0.744771113675255i
0.118118118118118+0i,0.68650754376956+1.28328636199329i
0.119119119119119+0i,0.37812305457598+1.07740034020857i
0.12012012012012+0i,0.46366205472247+1.41688955821188i
0.121121121121121+0i,-0.17549827562018+1.49124541449832i
0.122122122122122+0i,-0.14630072349326+1.2724443117672i
0.123123123123123+0i,-0.535893921617+1.5741498185764i
0.124124124124124+0i,-0.90408697969689+1.08686956715469i
0.125125125125125+0i,-0.80196099842463+1.13233801716092i
0.126126126126126+0i,-1.33416056918674+0.919966515848i
0.127127127127127+0i,-1.12061429305555+0.47132366455682i
0.128128128128128+0i,-1.28506439089329+0.60769636989755i
0.129129129129129+0i,-1.40249358545171+0.03076329103753i
0.13013013013013+0i,-1.06800504629856+0.0579059534848i
0.131131131131131+0i,-1.39201791719053-0.13495355272652i
0.132132132132132+0i,-0.996541048602925-0.529643900614484i
0.133133133133133+0i,-1.00616025262902-0.33263770772326i
0.134134134134134+0i,-0.966306528892151-0.838438082306136i
0.135135135135135+0i,-0.480103234309664-0.714992251758944i
0.136136136136136+0i,-0.649988233973096-0.784953632892353i
0.137137137137137+0i,-0.11348228654959-1.00030452546829i
0.138138138138138+0i,-0.029095406350421-0.579906286875218i
0.139139139139139+0i,0.049058614495933-0.825458653374006i
0.14014014014014+0i,0.484328597641121-0.426524771247131i
0.141141141141141+0i,0.182918230119003-0.253046211196548i
0.142142142142142+0i,0.521575244209267-0.270998772979572i
0.143143143143143+0i,0.359949067120562+0.266126423281186i
0.144144144144144+0i,0.192909829496431+0.058478490345336i
0.145145145145145+0i,0.395231937225676+0.432672629727571i
0.146146146146146+0i,-0.099907355694114+0.526558799072418i
0.147147147147147+0i,0.085165617834858+0.413961301823783i
0.148148148148148+0i,-0.209131674759279+0.842130234184269i
0.149149149149149+0i,-0.485641692008436+0.520602691528357i
0.15015015015015+0i,-0.395866760682163+0.772202982929253i
0.151151151151151+0i,-0.994418472313994+0.707234593953433i
0.152152152152152+0i,-0.890907819904371+0.40527462963668i
0.153153153153153+0i,-1.23184873819667+0.59779160746732i
0.154154154154154+0i,-1.48081160430311+0.01402200626918i
0.155155155155155+0i,-1.29117727993705+0.00745353231151i
0.156156156156156+0i,-1.70640347526485-0.29193175091008i
0.157157157157157+0i,-1.35390619520483-0.75703798696442i
0.158158158158158+0i,-1.4185685498772-0.65236867442553i
0.159159159159159+0i,-1.38158174743093-1.2397238782269i
0.16016016016016+0i,-0.94175239151741-1.17492221561727i
0.161161161161161+0i,-1.14744238336208-1.36432199611443i
0.162162162162162+0i,-0.62885154967848-1.6877125868282i
0.163163163163163+0i,-0.56942061721869-1.44116224461914i
0.164164164164164+0i,-0.41960988304318-1.88416136268012i
0.165165165165165+0i,0.11544915009647-1.66151396933584i
0.166166166166166+0i,-0.00119084957869-1.67938291928811i
0.167167167167167+0i,0.58628724460016-1.78944230858604i
0.168168168168168+0i,0.66487118413782-1.3019711960082i
0.169169169169169+0i,0.77852005632313-1.4828440863264i
0.17017017017017+0i,1.19198442945352-0.99927193944337i
0.171171171171171+0i,0.881562035785325-0.802423859896909i
0.172172172172172+0i,1.21918360592829-0.75569184733626i
0.173173173173173+0i,1.01351911910007-0.20155777041263i
0.174174174174174+0i,0.858495694399395-0.399255494380629i
0.175175175175175+0i,1.03047951727956+0.0026336015297i
0.176176176176176+0i,0.533321212943368+0.06515324944594i
0.177177177177177+0i,0.737419056751573-0.032188407066121i
0.178178178178178+0i,0.431628990208213+0.370943249241405i
0.179179179179179+0i,0.209562856911744+0.028191395864608i
0.18018018018018+0i,0.318630129595346+0.287764605364858i
0.181181181181181+0i,-0.226797962017083+0.185470651448013i
0.182182182182182+0i,-0.0478789568883234-0.0925591605456308i
0.183183183183183+0i,-0.344816421198916+0.098001228730971i
0.184184184184184+0i,-0.48871325625332-0.468588382142131i
0.185185185185185+0i,-0.237788800445662-0.415865565254096i
0.186186186186186+0i,-0.568770495715477-0.689507049669139i
0.187187187187187+0i,-0.12458670016306-1.05888710370148i
0.188188188188188+0i,-0.144512679521439-0.879825752916604i
0.189189189189189+0i,-0.0186614510306-1.37178272459815i
0.19019019019019+0i,0.44923844786685-1.17276891596686i
0.191191191191191+0i,0.27960458655234-1.26751142078038i
0.192192192192192+0i,0.82723567143571-1.43553657414967i
0.193193193193193+0i,0.85775275560733-1.06739245365846i
0.194194194194194+0i,1.01384295113332-1.3810062841967i
0.195195195195195+0i,1.48804882846898-1.00610378311194i
0.196196196196196+0i,1.31616612351547-0.92728376039831i
0.197197197197197+0i,1.84091111018754-0.89660610273535i
0.198198198198198+0i,1.80284999965272-0.3193436780279i
0.199199199199199+0i,1.8419625263395-0.41782314246921i
0.2002002002002+0i,2.12379537656244+0.15615791098985i
0.201201201201201+0i,1.70131592153085+0.37637847636503i
0.202202202202202+0i,1.9344040120867+0.48210172903106i
0.203203203203203+0i,1.58792110549885+1.03902354174503i
0.204204204204204+0i,1.35164856294899+0.836634814124i
0.205205205205205+0i,1.4019282293525+1.24437761106786i
0.206206206206206+0i,0.81869562845522+1.25266657953612i
0.207207207207207+0i,0.95681935068263+1.1463585708742i
0.208208208208208+0i,0.55989406093708+1.49560434540613i
0.209209209209209+0i,0.31393152279087+1.10551297887691i
0.21021021021021+0i,0.36316147962598+1.34202987665317i
0.211211211211211+0i,-0.20407581322792+1.1717677240952i
0.212212212212212+0i,-0.028852013119379+0.885980554939271i
0.213213213213213+0i,-0.35860277931634+1.03767259846252i
0.214214214214214+0i,-0.47576327250614+0.452498231162609i
0.215215215215215+0i,-0.244825032159025+0.521388530556397i
0.216216216216216+0i,-0.570117188711673+0.227688958986295i
0.217217217217217+0i,-0.117530936828491-0.096472047082139i
0.218218218218218+0i,-0.173223352391048+0.097402746372484i
0.219219219219219+0i,-0.039059445881792-0.361510634549689i
0.22022022022022+0i,0.376025101855668-0.101720318159576i
0.221221221221221+0i,0.167813704222727-0.181114256821475i
0.222222222222222+0i,0.669541714709922-0.280403952585616i
0.223223223223223+0i,0.60415965497004+0.111968845701182i
0.224224224224224+0i,0.705100836843489-0.17309751373731i
0.225225225225225+0i,1.06268800210063+0.24254525139968i
0.226226226226226+0i,0.792029708959381+0.302308186624939i
0.227227227227227+0i,1.21600370479451+0.35337176387866i
0.228228228228228+0i,1.03662955425406+0.89326668042463i
0.229229229229229+0i,0.986753218634058+0.751452664146666i
0.23023023023023+0i,1.1320493131922+1.28520250947438i
0.231231231231231+0i,0.60760982603216+1.40044098578225i
0.232232232232232+0i,0.75337399223007+1.43907371015506i
0.233233233233233+0i,0.29706713816926+1.87306933726913i
0.234234234234234+0i,0.01982175430849+1.54878208161396i
0.235235235235235+0i,-0.0038364127754+1.84701197330833i
0.236236236236236+0i,-0.61362956038998+1.69425745980265i
0.237237237237237+0i,-0.47906888023434+1.4798497455297i
0.238238238238238+0i,-0.89590080789152+1.68100118678081i
0.239239239239239+0i,-1.09087906267277+1.16130806284279i
0.24024024024024+0i,-1.02498703466606+1.29662793631639i
0.241241241241241+0i,-1.53182500419453+0.98998080713404i
0.242242242242242+0i,-1.2810571037972+0.63561906590209i
0.243243243243243+0i,-1.56100554327288+0.69148103601053i
0.244244244244244+0i,-1.57008951391825+0.04062892390493i
0.245245245245245+0i,-1.28022612600865+0.07983470383826i
0.246246246246246+0i,-1.51840488089285-0.27345818040611i
0.247247247247247+0i,-0.981116632841038-0.58820208577111i
0.248248248248248+0i,-0.993955276222171-0.415353583976657i
0.249249249249249+0i,-0.774229864220258-0.871008321585476i
0.25025025025025+0i,-0.336166614168565-0.582440885297824i
0.251251251251251+0i,-0.50290263140598-0.674980567014443i
0.252252252252252+0i,0.030298796800403-0.732447299087293i
0.253253253253253+0i,-0.048323374247554-0.343967222679029i
0.254254254254254+0i,0.081885880208584-0.62280306635378i
0.255255255255255+0i,0.409060252960724-0.190204487877079i
0.256256256256256+0i,0.133039052380523-0.167983272058923i
0.257257257257257+0i,0.549504510706893-0.110823378699876i
0.258258258258258+0i,0.329273121847587+0.37970740517891i
0.259259259259259+0i,0.293619969136278+0.192452785579498i
0.26026026026026+0i,0.407507433723613+0.686918865304004i
0.261261261261261+0i,-0.107570811238708+0.70822163226318i
0.262262262262262+0i,0.059944333617354+0.699680894805563i
0.263263263263263+0i,-0.39307447414313+1.0374498703493i
0.264264264264264+0i,-0.599689679338649+0.631767981786779i
0.265265265265265+0i,-0.588836362922718+0.867206757119394i
0.266266266266266+0i,-1.11642688039465+0.61252051055722i
0.267267267267267+0i,-0.885288544884932+0.359109400951133i
0.268268268268268+0i,-1.22447892249191+0.4880724579125i
