time [seconds],signal [mV]
0.488488488488488+0i,0.859548289728845+0.363489716929893i
0.48948948948949+0i,0.968984418513271+0.259743343843945i
0.49049049049049+0i,0.820584982261477+0.822191236410366i
0.491491491491491+0i,0.388089032597664+0.655002275955248i
0.492492492492492+0i,0.523086053031534+0.840468383846264i
0.493493493493493+0i,-0.071766727582649+0.973364445204658i
0.494494494494495+0i,-0.071741222566214+0.608630148778173i
0.495495495495495+0i,-0.252710486106814+0.8852887269313i
0.496496496496497+0i,-0.622563812234819+0.441890305175744i
0.497497497497497+0i,-0.358910173279955+0.401317276353719i
0.498498498498498+0i,-0.780320334234265+0.35954277332767i
0.4994994994995+0i,-0.585096395021448-0.110059389297923i
0.500500500500501+0i,-0.585096395021495+0.110059389297943i
0.501501501501502+0i,-0.780320334234269-0.359542773327659i
0.502502502502503+0i,-0.358910173279963-0.401317276353703i
0.503503503503503+0i,-0.622563812234832-0.441890305175737i
0.504504504504504+0i,-0.252710486106877-0.885288726931297i
0.505505505505506+0i,-0.071741222566219-0.608630148778171i
0.506506506506507+0i,-0.071766727582662-0.973364445204659i
0.507507507507508+0i,0.52308605303152-0.840468383846264i
0.508508508508508+0i,0.388089032597659-0.655002275955225i
0.509509509509509+0i,0.820584982261424-0.822191236410391i
0.510510510510511+0i,0.968984418513266-0.259743343843945i
0.511511511511512+0i,0.859548289728839-0.363489716929909i
0.512512512512513+0i,1.27124874739137-0.01416938959543i
0.513513513513513+0i,0.913218608601331+0.310027002102436i
0.514514514514514+0i,1.11770578192142+0.21980397818864i
0.515515515515516+0i,1.04229742920232+0.79979375449907i
0.516516516516517+0i,0.740683181881079+0.674201754198269i
0.517517517517518+0i,0.974354948261766+0.989191073670473i
0.518518518518518+0i,0.44692047520496+1.25799579943837i
0.519519519519519+0i,0.48360487788063+1.10346835149292i
0.520520520520521+0i,0.22449405585712+1.58544590277392i
0.521521521521522+0i,-0.25071925770424+1.31249838264418i
0.522522522522523+0i,-0.1742483784658+1.43026121494348i
0.523523523523523+0i,-0.80918751498739+1.43889533924806i
0.524524524524524+0i,-0.801179830761603+0.996512647800834i
0.525525525525526+0i,-1.01015390155475+1.18249036295314i
0.526526526526527+0i,-1.34208135324846+0.64086768241133i
0.527527527527528+0i,-1.06290156562926+0.55554763082269i
0.528528528528528+0i,-1.45895342211856+0.42619749623675i
0.529529529529529+0i,-1.20268383696591-0.07302076506996i
0.530530530530531+0i,-1.19092287621447+0.11165246984298i
0.531531531531532+0i,-1.32274676534305-0.39564857373106i
0.532532532532533+0i,-0.875655997447345-0.420614939836944i
0.533533533533533+0i,-1.11763512393341-0.48879561871311i
0.534534534534534+0i,-0.704774872927977-0.906022376979509i
0.535535535535536+0i,-0.542386094896193-0.617055281757592i
0.536536536536537+0i,-0.519916059200283-0.981117588260262i
0.537537537537538+0i,0.050845022502727-0.805871523086464i
0.538538538538539+0i,-0.116863838459218-0.636681241170288i
0.539539539539539+0i,0.301918664600287-0.781342914979334i
0.540540540540541+0i,0.377341218504102-0.226392055026213i
0.541541541541542+0i,0.242066937487546-0.363266328245225i
0.542542542542543+0i,0.590155456906027-0.018643411722214i
0.543543543543544+0i,0.172732441991053+0.232119941923249i
0.544544544544544+0i,0.350376536721154+0.100676587671976i
0.545545545545546+0i,0.204350288739556+0.605264859559043i
0.546546546546547+0i,-0.105059275406108+0.379216959749347i
0.547547547547548+0i,0.097640217930161+0.624902109045953i
0.548548548548549+0i,-0.441682511610515+0.761897831436888i
0.54954954954955+0i,-0.372145991563242+0.517082154688975i
0.550550550550551+0i,-0.630986740602254+0.885435717018197i
0.551551551551552+0i,-1.03435074803933+0.48821377744947i
0.552552552552553+0i,-0.903978359343188+0.528003804269007i
0.553553553553554+0i,-1.46285448024182+0.41311378738961i
0.554554554554555+0i,-1.33598616228102-0.093513380527i
0.555555555555556+0i,-1.46366873546327+0.02122627486276i
0.556556556556557+0i,-1.65159551955149-0.58608762282906i
0.557557557557558+0i,-1.25917986256401-0.67811728773927i
0.558558558558559+0i,-1.53398692044127-0.84965160059859i
0.55955955955956+0i,-1.1307257921299-1.32499847161361i
0.560560560560561+0i,-1.02639782419739-1.12135718538129i
0.561561561561562+0i,-1.01977169432432-1.60434191376045i
0.562562562562563+0i,-0.48161236405586-1.55064386065381i
0.563563563563564+0i,-0.63855326356223-1.58267135626345i
0.564564564564565+0i,-0.12842486461185-1.90705950655212i
0.565565565565566+0i,0.06636254845331-1.54274936283678i
0.566566566566567+0i,0.15909571384551-1.83932110547246i
0.567567567567568+0i,0.74708990379598-1.55804134570836i
0.568568568568569+0i,0.58951840533902-1.34143287723276i
0.56956956956957+0i,1.03198904809308-1.39791995151402i
0.570570570570571+0i,1.07216633999759-0.78830979886999i
0.571571571571572+0i,0.948733437181422-0.891274809372756i
0.572572572572573+0i,1.26712038388356-0.4855532121912i
0.573573573573574+0i,0.827619200814572-0.239749538473512i
0.574574574574575+0i,1.01125275645807-0.33893463846985i
0.575575575575576+0i,0.827826904358457+0.163612552770335i
0.576576576576577+0i,0.542727060560493-0.081272059158471i
0.577577577577578+0i,0.740814238549287+0.178592065987333i
0.578578578578579+0i,0.216420248378929+0.272681518604565i
0.57957957957958+0i,0.337363425438528+0.033470824176143i
0.580580580580581+0i,0.093370893566168+0.385189020519346i
0.581581581581582+0i,-0.229599128614253-0.030838001720682i
0.582582582582583+0i,-0.0475976280383826+0.0374092000946746i
0.583583583583584+0i,-0.537337513162206-0.091094972621327i
0.584584584584585+0i,-0.311676468972536-0.548223100066866i
0.585585585585586+0i,-0.386423161890976-0.394031569669078i
0.586586586586587+0i,-0.468424210126596-0.952973345302031i
0.587587587587588+0i,-0.014342354360172-0.942624103397888i
0.588588588588589+0i,-0.22577102336943-1.05019696731694i
0.58958958958959+0i,0.25300047718226-1.39855432419087i
0.590590590590591+0i,0.37096234593045-1.08276097049363i
0.591591591591592+0i,0.42935910229448-1.45159808238154i
0.592592592592593+0i,0.96164994912793-1.24073384555224i
0.593593593593594+0i,0.79077423953577-1.16666972806276i
0.594594594594595+0i,1.29074252752606-1.3361800747157i
0.595595595595596+0i,1.40900222399558-0.84821414737694i
0.596596596596597+0i,1.46168688766178-1.03501245078705i
0.597597597597598+0i,1.95305823227037-0.61826364978064i
0.598598598598599+0i,1.69641316149405-0.33357022800141i
0.5995995995996+0i,2.05133367051112-0.2882256605108i
0.600600600600601+0i,1.94954833997718+0.37804006002634i
0.601601601601602+0i,1.73508266830681+0.30796778438496i
0.602602602602603+0i,1.92179414354079+0.76468336043765i
0.603603603603604+0i,1.36627825627603+0.99106893829993i
0.604604604604605+0i,1.46223013356359+0.90731902842427i
0.605605605605606+0i,1.15350544773881+1.38413575467897i
0.606606606606607+0i,0.80873580494018+1.09832075800857i
0.607607607607608+0i,0.91830473814311+1.34535044877631i
0.608608608608609+0i,0.33123621470468+1.36882088534071i
0.60960960960961+0i,0.42381127968077+1.10792596281826i
0.610610610610611+0i,0.1178055883902+1.41081928275717i
0.611611611611612+0i,-0.200933827121734+0.946366030326927i
0.612612612612613+0i,-0.04655680424638+1.00845643509005i
0.613613613613614+0i,-0.543118841619914+0.830054464269525i
0.614614614614615+0i,-0.299380624731713+0.384586966574323i
0.615615615615616+0i,-0.400872391961585+0.532799863481034i
0.616616616616617+0i,-0.4570893909688-0.023961951228701i
0.617617617617618+0i,-0.0246911052488833+0.0337993856101588i
0.618618618618619+0i,-0.251929232508864-0.070323842370357i
0.61961961961962+0i,0.220326569182866-0.357663870825331i
0.620620620620621+0i,0.273947717484923-0.006799753626121i
0.621621621621622+0i,0.3095482204061-0.342322792834096i
0.622622622622623+0i,0.762968674654184-0.066174258816913i
0.623623623623624+0i,0.514678743462433+0.015294205160759i
0.624624624624625+0i,0.943951421125354-0.103785488973502i
0.625625625625626+0i,0.935245261154978+0.393197846067158i
0.626626626626627+0i,0.906756516837143+0.19985368915559i
0.627627627627628+0i,1.26765077805063+0.62789558662442i
0.628628628628629+0i,0.892724006785292+0.854056944913433i
0.62962962962963+0i,1.14819447033358+0.87409110387012i
0.630630630630631+0i,0.90612651781801+1.46579253142983i
0.631631631631632+0i,0.61390826900017+1.30239883090906i
0.632632632632633+0i,0.6906671607525+1.68304800593976i
0.633633633633634+0i,0.0553660807875+1.76771252918254i
0.634634634634635+0i,0.10577560479308+1.5835130683918i
0.635635635635636+0i,-0.27505389154485+1.92124658435002i
0.636636636636637+0i,-0.61839227303432+1.49209764907871i
0.637637637637638+0i,-0.53230832486404+1.62811144061608i
0.638638638638639+0i,-1.10778545320185+1.49169309199586i
0.63963963963964+0i,-0.96916506013158+1.12921151332171i
0.640640640640641+0i,-1.2576583286536+1.30776980683787i
0.641641641641642+0i,-1.49076728101533+0.73098969417843i
0.642642642642643+0i,-1.2843761381995+0.72674081746237i
0.643643643643644+0i,-1.70416356071694+0.44571162659554i
0.644644644644645+0i,-1.36320571266803-0.03391184082905i
0.645645645645646+0i,-1.4108847976095+0.06380462640904i
0.646646646646647+0i,-1.3617083085864-0.52730954931355i
0.647647647647648+0i,-0.87483215191474-0.458873522847103i
0.648648648648649+0i,-1.03844175666042-0.59269149317819i
0.64964964964965+0i,-0.49738009472553-0.848977506814847i
0.650650650650651+0i,-0.430037566580735-0.494904811599188i
0.651651651651652+0i,-0.338104236106176-0.823562008312605i
0.652652652652653+0i,0.114836706578828-0.510570972792449i
0.653653653653654+0i,-0.126158709543718-0.447326139734776i
0.654654654654655+0i,0.316208800890287-0.538308369085936i
0.655655655655656+0i,0.270245402914516-0.055344058723372i
0.656656656656657+0i,0.254130288369626-0.270728703717068i
0.657657657657658+0i,0.579690379841808+0.154087832856322i
0.658658658658659+0i,0.189492017249354+0.313800005407602i
0.65965965965966+0i,0.448263435667477+0.308152848581934i
0.660660660660661+0i,0.174285623873444+0.828900976392685i
0.661661661661662+0i,-0.084952400566382+0.588112425278727i
0.662662662662663+0i,-0.00831138054994+0.914213980307683i
0.663663663663664+0i,-0.609323206030316+0.88959549115402i
0.664664664664665+0i,-0.495250024883935+0.648535863334238i
0.665665665665666+0i,-0.838749282283358+0.897618011546034i
0.666666666666667+0i,-1.075+0.38971143170303i
0.667667667667668+0i,-0.914118495822257+0.485551000230537i
0.668668668668669+0i,-1.38220637173589+0.27055315017706i
0.66966966966967+0i,-1.1132694347336-0.10282982837688i
0.670670670670671+0i,-1.30603903273244+0.04603414612446i
0.671671671671672+0i,-1.38491624954776-0.53831830044878i
0.672672672672673+0i,-1.07025501619177-0.50292470854605i
0.673673673673674+0i,-1.36358033952116-0.77590105027371i
0.674674674674675+0i,-0.89022861239443-1.17609460969308i
0.675675675675676+0i,-0.85672027104175-1.01808982475691i
0.676676676676677+0i,-0.6849773583408-1.52956655607168i
0.677677677677678+0i,-0.13805978782935-1.34203411630444i
0.678678678678679+0i,-0.23720315884971-1.39875538662104i
0.67967967967968+0i,0.36188727825329-1.52009722097475i
0.680680680680681+0i,0.42821124788844-1.06663334576462i
0.681681681681682+0i,0.55596008555336-1.29300687738743i
0.682682682682683+0i,0.981262440309781-0.856241903150817i
0.683683683683684+0i,0.720782730880089-0.727635908734575i
0.684684684684685+0i,1.14291730232979-0.71053186682447i
0.685685685685686+0i,1.02724011612729-0.16885481717846i
0.686686686686687+0i,0.989505842580609-0.33294448576388i
0.687687687687688+0i,1.24274493932141+0.15564627498062i
0.688688688688689+0i,0.803411971021242+0.315408897004788i
0.68968968968969+0i,1.02687499520694+0.35014059250723i
0.690690690690691+0i,0.684094960710056+0.862155838924773i
0.691691691691692+0i,0.419147303965602+0.610111865239934i
0.692692692692693+0i,0.452851954069619+0.94446058024132i
0.693693693693694+0i,-0.155634267490629+0.875395497528861i
0.694694694694695+0i,-0.027188125595098+0.643597023869686i
0.695695695695696+0i,-0.384191060772744+0.867244039267989i
0.696696696696697+0i,-0.569644491211079+0.347628528965215i
0.697697697697698+0i,-0.398015109788206+0.465854813159446i
0.698698698698699+0i,-0.825227873184374+0.234777973688505i
0.6996996996997+0i,-0.503110689861799-0.088896418341824i
0.700700700700701+0i,-0.681250198684678+0.084020822617475i
0.701701701701702+0i,-0.694129726206362-0.455037043594023i
0.702702702702703+0i,-0.367807417953094-0.336882060761448i
0.703703703703704+0i,-0.633345976285261-0.564244728461454i
0.704704704704705+0i,-0.13534687732804-0.855007887933805i
0.705705705705706+0i,-0.129604000471971-0.618988385963596i
0.706706706706707+0i,0.05238207242761-1.03901757904296i
0.707707707707708+0i,0.543522643917731-0.734730014059428i
0.708708708708709+0i,0.396639752080071-0.725724761777267i
0.70970970970971+0i,0.93884958984574-0.733587058884241i
0.710710710710711+0i,0.894904013517038-0.215755375520871i
0.711711711711712+0i,0.952823140070125-0.38087433109458i
0.712712712712713+0i,1.24836031460766+0.12563276240781i
0.713713713713714+0i,0.876511974471006+0.258975044779003i
0.714714714714715+0i,1.18991341679344+0.31690644833078i
0.715715715715716+0i,0.927046608365297+0.841006965590428i
0.716716716716717+0i,0.798156711758963+0.651200971565591i
0.717717717717718+0i,0.916410763496+1.11940570189322i
0.718718718718719+0i,0.37764281197973+1.19474177517099i
0.71971971971972+0i,0.51981892778864+1.18502607106625i
0.720720720720721+0i,0.07308286526524+1.60068217312772i
0.721721721721722+0i,-0.22619032695559+1.25483782251897i
0.722722722722723+0i,-0.25946467338639+1.51292534695599i
0.723723723723724+0i,-0.89030415524097+1.31905096899636i
0.724724724724725+0i,-0.7618531731348+1.01922519546727i
0.725725725725726+0i,-1.14006632921171+1.13981961811239i
0.726726726726727+0i,-1.28029011217029+0.53729920643451i
0.727727727727728+0i,-1.10310764240821+0.60500780237018i
0.728728728728729+0i,-1.48940927462126+0.28841482606863i
0.72972972972973+0i,-1.11692861620966-0.05357120012688i
0.730730730730731+0i,-1.27918292300283+0.07276281294475i
0.731731731731732+0i,-1.22447892249195-0.48807245791247i
0.732732732732733+0i,-0.885288544884946-0.35910940095112i
0.733733733733734+0i,-1.11642688039466-0.61252051055722i
0.734734734734735+0i,-0.588836362922709-0.867206757119371i
0.735735735735736+0i,-0.599689679338631-0.631767981786764i
0.736736736736737+0i,-0.39307447414312-1.0374498703493i
0.737737737737738+0i,0.059944333617326-0.699680894805572i
0.738738738738739+0i,-0.10757081123873-0.708221632263198i
0.73973973973974+0i,0.407507433723615-0.686918865303996i
0.740740740740741+0i,0.293619969136259-0.19245278557953i
0.741741741741742+0i,0.329273121847628-0.379707405178934i
0.742742742742743+0i,0.549504510706905+0.110823378699846i
0.743743743743744+0i,0.133039052380527+0.167983272058907i
0.744744744744745+0i,0.409060252960732+0.190204487877067i
0.745745745745746+0i,0.081885880208615+0.622803066353772i
0.746746746746747+0i,-0.04832337424751+0.343967222679015i
0.747747747747748+0i,0.03029879680042+0.732447299087275i
0.748748748748749+0i,-0.502902631405979+0.674980567014444i
0.74974974974975+0i,-0.336166614168562+0.582440885297827i
0.750750750750751+0i,-0.774229864220196+0.871008321585492i
0.751751751751752+0i,-0.99395527622212+0.415353583976647i
0.752752752752753+0i,-0.981116632841043+0.588202085771141i
0.753753753753754+0i,-1.51840488089283+0.27345818040615i
0.754754754754755+0i,-1.28022612600865-0.07983470383825i
0.755755755755756+0i,-1.57008951391823-0.04062892390489i
0.756756756756757+0i,-1.56100554327286-0.69148103601053i
0.757757757757758+0i,-1.28105710379722-0.63561906590207i
0.758758758758759+0i,-1.53182500419454-0.98998080713401i
0.75975975975976+0i,-1.02498703466609-1.29662793631639i
0.760760760760761+0i,-1.09087906267276-1.16130806284277i
0.761761761761762+0i,-0.89590080789154-1.6810011867808i
0.762762762762763+0i,-0.47906888023437-1.47984974552967i
0.763763763763764+0i,-0.61362956039001-1.69425745980267i
0.764764764764765+0i,-0.00383641277544-1.84701197330835i
0.765765765765766+0i,0.01982175430849-1.54878208161395i
0.766766766766767+0i,0.29706713816926-1.87306933726914i
0.767767767767768+0i,0.75337399223006-1.43907371015507i
0.768768768768769+0i,0.60760982603215-1.40044098578226i
0.76976976976977+0i,1.13204931319219-1.28520250947439i
0.770770770770771+0i,0.98675321863409-0.751452664146675i
0.771771771771772+0i,1.03662955425407-0.89326668042464i
0.772772772772773+0i,1.21600370479451-0.35337176387866i
0.773773773773774+0i,0.79202970895938-0.302308186624943i
0.774774774774775+0i,1.06268800210063-0.24254525139969i
0.775775775775776+0i,0.705100836843557+0.173097513737302i
0.776776776776777+0i,0.604159654970059-0.111968845701188i
0.777777777777778+0i,0.669541714709941+0.280403952585614i
0.778778778778779+0i,0.167813704222748+0.181114256821473i
0.77977977977978+0i,0.376025101855688+0.101720318159583i
0.780780780780781+0i,-0.03905944588177+0.361510634549701i
0.781781781781782+0i,-0.173223352391017-0.097402746372483i
0.782782782782783+0i,-0.117530936828473+0.09647204708213i
0.783783783783784+0i,-0.570117188711671-0.227688958986292i
0.784784784784785+0i,-0.244825032159036-0.521388530556401i
0.785785785785786+0i,-0.475763272506125-0.452498231162587i
0.786786786786787+0i,-0.35860277931632-1.0376725984625i
0.787787787787788+0i,-0.028852013119409-0.885980554939225i
0.788788788788789+0i,-0.20407581322794-1.17176772409516i
0.78978978978979+0i,0.36316147962595-1.34202987665317i
0.790790790790791+0i,0.31393152279085-1.10551297887689i
0.791791791791792+0i,0.5598940609371-1.49560434540613i
0.792792792792793+0i,0.9568193506826-1.14635857087418i
0.793793793793794+0i,0.8186956284552-1.25266657953611i
0.794794794794795+0i,1.40192822935248-1.24437761106788i
0.795795795795796+0i,1.35164856294898-0.83663481412401i
0.796796796796797+0i,1.58792110549886-1.03902354174504i
0.797797797797798+0i,1.93440401208669-0.48210172903106i
0.798798798798799+0i,1.70131592153085-0.37637847636504i
0.7997997997998+0i,2.12379537656242-0.15615791098994i
0.800800800800801+0i,1.84196252633954+0.41782314246918i
0.801801801801802+0i,1.80284999965274+0.31934367802788i
0.802802802802803+0i,1.84091111018755+0.89660610273533i
0.803803803803804+0i,1.31616612351548+0.92728376039829i
0.804804804804805+0i,1.48804882846899+1.00610378311188i
0.805805805805806+0i,1.01384295113332+1.3810062841967i
0.806806806806807+0i,0.85775275560733+1.06739245365846i
0.807807807807808+0i,0.82723567143572+1.43553657414968i
0.808808808808809+0i,0.27960458655235+1.26751142078039i
0.80980980980981+0i,0.44923844786687+1.17276891596685i
0.810810810810811+0i,-0.01866145103064+1.37178272459814i
0.811811811811812+0i,-0.144512679521423+0.879825752916621i
0.812812812812813+0i,-0.12458670016304+1.0588871037015i
0.813813813813814+0i,-0.568770495715474+0.689507049669176i
0.814814814814815+0i,-0.237788800445667+0.415865565254123i
0.815815815815816+0i,-0.488713256253313+0.468588382142136i
0.816816816816817+0i,-0.344816421198883-0.098001228730968i
0.817817817817818+0i,-0.0478789568883285+0.0925591605456359i
0.818818818818819+0i,-0.226797962017088-0.18547065144803i
0.81981981981982+0i,0.318630129595322-0.287764605364872i
0.820820820820821+0i,0.209562856911722-0.02819139586462i
0.821821821821822+0i,0.431628990208198-0.370943249241401i
0.822822822822823+0i,0.737419056751552+0.032188407066138i
0.823823823823824+0i,0.533321212943336-0.065153249445939i
0.824824824824825+0i,1.03047951727954-0.00263360152971i
0.825825825825826+0i,0.858495694399334+0.399255494380584i
0.826826826826827+0i,1.01351911910009+0.20155777041261i
0.827827827827828+0i,1.2191836059283+0.75569184733622i
0.828828828828829+0i,0.881562035785334+0.802423859896873i
0.82982982982983+0i,1.19198442945353+0.99927193944331i
0.830830830830831+0i,0.77852005632311+1.48284408632639i
0.831831831831832+0i,0.66487118413779+1.3019711960082i
0.832832832832833+0i,0.58628724460016+1.78944230858605i
0.833833833833834+0i,-0.00119084957868+1.67938291928814i
0.834834834834835+0i,0.11544915009648+1.66151396933584i
0.835835835835836+0i,-0.4196098830432+1.88416136268009i
0.836836836836837+0i,-0.56942061721867+1.44116224461914i
0.837837837837838+0i,-0.62885154967844+1.68771258682819i
0.838838838838839+0i,-1.14744238336205+1.36432199611445i
0.83983983983984+0i,-0.9417523915174+1.17492221561726i
0.840840840840841+0i,-1.38158174743092+1.23972387822691i
0.841841841841842+0i,-1.41856854987716+0.65236867442555i
0.842842842842843+0i,-1.35390619520483+0.75703798696444i
0.843843843843844+0i,-1.70640347526486+0.29193175091014i
0.844844844844845+0i,-1.29117727993706-0.00745353231149i
0.845845845845846+0i,-1.48081160430314-0.0140220062692i
0.846846846846847+0i,-1.23184873819668-0.59779160746731i
0.847847847847848+0i,-0.890907819904423-0.405274629636639i
0.848848848848849+0i,-0.994418472314032-0.707234593953416i
0.84984984984985+0i,-0.39586676068222-0.772202982929302i
0.850850850850851+0i,-0.485641692008434-0.52060269152835i
0.851851851851852+0i,-0.209131674759275-0.842130234184277i
0.852852852852853+0i,0.085165617834857-0.413961301823804i
0.853853853853854+0i,-0.099907355694121-0.526558799072471i
0.854854854854855+0i,0.395231937225657-0.432672629727607i
0.855855855855856+0i,0.192909829496408-0.058478490345355i
0.856856856856857+0i,0.359949067120528-0.26612642328119i
0.857857857857858+0i,0.521575244209258+0.27099877297957i
0.858858858858859+0i,0.182918230119001+0.253046211196556i
0.85985985985986+0i,0.484328597641105+0.426524771247057i
0.860860860860861+0i,0.049058614495973+0.82545865337401i
0.861861861861862+0i,-0.029095406350386+0.579906286875208i
0.862862862862863+0i,-0.11348228654953+1.00030452546826i
0.863863863863864+0i,-0.649988233973064+0.784953632892349i
0.864864864864865+0i,-0.48010323430964+0.714992251758998i
0.865865865865866+0i,-0.966306528892156+0.838438082306131i
0.866866866866867+0i,-1.00616025262905+0.33263770772327i
0.867867867867868+0i,-0.996541048602915+0.5296439006145i
0.868868868868869+0i,-1.39201791719054+0.13495355272658i
0.86986986986987+0i,-1.06800504629856-0.05790595348479i
0.870870870870871+0i,-1.40249358545176-0.03076329103756i
0.871871871871872+0i,-1.28506439089328-0.60769636989755i
0.872872872872873+0i,-1.12061429305551-0.47132366455682i
0.873873873873874+0i,-1.33416056918676-0.91996651584795i
0.874874874874875+0i,-0.80196099842462-1.13233801716087i
0.875875875875876+0i,-0.9040869796969-1.08686956715468i
0.876876876876877+0i,-0.53589392161698-1.57414981857639i
0.877877877877878+0i,-0.14630072349328-1.2724443117672i
0.878878878878879+0i,-0.17549827562022-1.49124541449827i
0.87987987987988+0i,0.46366205472246-1.41688955821188i
0.880880880880881+0i,0.37812305457596-1.07740034020858i
0.881881881881882+0i,0.68650754376954-1.2832863619933i
0.882882882882883+0i,0.942263180274915-0.744771113675251i
0.883883883883884+0i,0.748517677430723-0.788963669936063i
0.884884884884885+0i,1.20757410043039-0.58561652382194i
0.885885885885886+0i,0.943037805225016-0.166493169719319i
0.886886886886887+0i,1.0868293783862-0.31139346923002i
0.887887887887888+0i,1.16817245805834+0.27462763734844i
0.888888888888889+0i,0.794127020753384+0.25917767772281i
0.88988988988989+0i,1.04743586458146+0.47411877712795i
0.890890890890891+0i,0.554079025720505+0.851214801476555i
0.891891891891892+0i,0.47129891834062+0.607106349198927i
0.892892892892893+0i,0.33869608317054+1.02269028498869i
0.893893893893894+0i,-0.189605880597152+0.76798542150266i
0.894894894894895+0i,-0.016857859929766+0.711075233335833i
0.895895895895896+0i,-0.505140854578193+0.79919119650715i
0.896896896896897+0i,-0.493496049629941+0.297468846789108i
0.897897897897898+0i,-0.479184961420241+0.506618520769897i
0.898898898898899+0i,-0.819736540683393+0.103675652681737i
0.8998998998999+0i,-0.456162852014738-0.033748231796629i
0.900900900900901+0i,-0.7669116581045+0.009259264094377i
0.901901901901902+0i,-0.585681992563669-0.505579096075543i
0.902902902902903+0i,-0.418359487703103-0.296337508288614i
0.903903903903904+0i,-0.593097459763302-0.691539946659655i
0.904904904904905+0i,-0.052832629289873-0.789726377408071i
0.905905905905906+0i,-0.17624132121081-0.675754850651669i
0.906906906906907+0i,0.19736783385151-1.05687839784286i
0.907907907907908+0i,0.520572247736502-0.651046168664202i
0.908908908908909+0i,0.453230199438722-0.799231618672429i
0.90990990990991+0i,1.0182784827124-0.61020897685203i
0.910910910910911+0i,0.829275275368974-0.219220989892262i
0.911911911911912+0i,1.06380587762978-0.3525162224428i
0.912912912912913+0i,1.18104145545432+0.23998735622995i
0.913913913913914+0i,0.887745739274841+0.203013065251783i
0.914914914914915+0i,1.22355440483642+0.44619158569732i
0.915915915915916+0i,0.821827492258621+0.833599121490791i
0.916916916916917+0i,0.873504127330767+0.673535857919173i
0.917917917917918+0i,0.81457910037854+1.22320366708132i
0.918918918918919+0i,0.35612436509057+1.12647886875636i
0.91991991991992+0i,0.51674758437414+1.2969405679811i
0.920920920920921+0i,-0.06754352584839+1.56542716975168i
0.921921921921922+0i,-0.18328922959126+1.24040145519405i
0.922922922922923+0i,-0.38603952956269+1.5665375962498i
0.923923923923924+0i,-0.92046685663733+1.19358434919356i
0.924924924924925+0i,-0.75863222414207+1.07189067720261i
0.925925925925926+0i,-1.25526991826424+1.04828105997272i
0.926926926926927+0i,-1.19828167325945+0.4797508627588i
0.927927927927928+0i,-1.18317171628733+0.62795844245256i
0.928928928928929+0i,-1.46894655761298+0.14853325257142i
0.92992992992993+0i,-1.06861241351867-0.00243741956223i
0.930930930930931+0i,-1.3533685529317-0.01350433200615i
0.931931931931932+0i,-1.10757679857134-0.53363652911798i
0.932932932932933+0i,-0.934906790116414-0.324294850046397i
0.933933933933934+0i,-1.06425979509228-0.73714946097747i
0.934934934934935+0i,-0.510603745814927-0.796040242297404i
0.935935935935936+0i,-0.642611220537952-0.691920547492966i
0.936936936936937+0i,-0.24934964006643-1.0446401384268i
0.937937937937938+0i,0.02717914105767-0.618904202355647i
0.938938938938939+0i,-0.05039780533059-0.779127952308865i
0.93993993993994+0i,0.471554307230128-0.561021551574118i
0.940940940940941+0i,0.221761591068624-0.205530830664007i
0.941941941941942+0i,0.430616958430106-0.34959568987345i
0.942942942942943+0i,0.466492875560258+0.211125006178095i
0.943943943943944+0i,0.141659084996167+0.102106064198809i
0.944944944944945+0i,0.427124154077358+0.308471792192054i
0.945945945945946+0i,-0.026526061018795+0.592225738037673i
0.946946946946947+0i,0.02329991383132+0.354971606796677i
0.947947947947948+0i,-0.078262187247968+0.810154808596636i
0.948948948948949+0i,-0.515538371534397+0.586605838412131i
0.94994994994995+0i,-0.341067320790152+0.675162922794323i
0.950950950950951+0i,-0.90235550311642+0.807207579980301i
0.951951951951952+0i,-0.937984184284591+0.387230290701142i
0.952952952952953+0i,-1.09683854365381+0.61663891560434i
0.953953953953954+0i,-1.52230803209259+0.13243251603395i
0.954954954954955+0i,-1.26237136047629-0.03855153826046i
0.955955955955956+0i,-1.65787268817123-0.14958111670394i
0.956956956956957+0i,-1.45352833330817-0.74888126404501i
0.957957957957958+0i,-1.34059117320538-0.62193927280374i
0.958958958958959+0i,-1.47876790507269-1.12792786012659i
0.95995995995996+0i,-0.95913858926484-1.23887126819858i
0.960960960960961+0i,-1.13804677757871-1.24688397258803i
0.961961961961962+0i,-0.75737712945732-1.70906483284728i
0.962962962962963+0i,-0.51484849404835-1.43833583233156i
0.963963963963964+0i,-0.53831909986492-1.80267459219136i
0.964964964964965+0i,0.08022145720615-1.7574358745031i
0.965965965965966+0i,-0.00941696206775-1.59902718332231i
0.966966966966967+0i,0.4477446090743-1.8566089475244i
0.967967967967968+0i,0.71945226839133-1.3487350947033i
0.968968968968969+0i,0.67306900133304-1.45539177119058i
0.96996996996997+0i,1.18803676424537-1.14446912011347i
0.970970970970971+0i,0.916499385636843-0.760867401348155i
0.971971971971972+0i,1.13497357879692-0.84809606812626i
0.972972972972973+0i,1.12479932762223-0.25381601579286i
0.973973973973974+0i,0.804806374583996-0.363309226596596i
0.974974974974975+0i,1.07161997704976-0.12087782893849i
0.975975975975976+0i,0.600281177489501+0.13541502146237i
0.976976976976977+0i,0.677288565510006-0.095571034088292i
0.977977977977978+0i,0.559793741646867+0.349320737833875i
