"V1","V2"
0,1
1,0.998001998667333
2,0.996007989343991
3,0.994017964053935
4,0.992031914837061
5,0.990049833749168
6,0.988071712861931
7,0.986097544262862
8,0.984127320055285
9,0.982161032358301
10,0.980198673306755
11,0.97824023505121
12,0.97628570975791
13,0.97433508960875
14,0.972388366801247
15,0.970445533548508
16,0.968506582079198
17,0.966571504637507
18,0.964640293483123
19,0.9627129408912
20,0.960789439152324
21,0.958869780572485
22,0.956953957473047
23,0.955041962190715
24,0.953133787077505
25,0.951229424500714
26,0.94932886684289
27,0.947432106501799
28,0.945539135890397
29,0.943649947436799
30,0.941764533584249
31,0.939882886791089
32,0.93800499953073
33,0.936130864291619
34,0.934260473577214
35,0.932393819905949
36,0.930530895811206
37,0.928671693841288
38,0.926816206559383
39,0.92496442654354
40,0.923116346386636
41,0.921271958696349
42,0.919431256095125
43,0.917594231220151
44,0.915760876723326
45,0.913931185271229
46,0.912105149545091
47,0.910282762240767
48,0.908464016068707
49,0.906648903753921
50,0.90483741803596
51,0.903029551668877
52,0.901225297421205
53,0.899424648075925
54,0.897627596430435
55,0.895834135296529
56,0.894044257500358
57,0.892257955882409
58,0.890475223297473
59,0.888696052614618
60,0.886920436717158
61,0.885148368502628
62,0.883379840882751
63,0.881614846783417
64,0.879853379144644
65,0.878095430920562
66,0.876340995079374
67,0.874590064603335
68,0.87284263248872
69,0.871098691745799
70,0.869358235398806
71,0.867621256485915
72,0.865887748059206
73,0.864157703184643
74,0.862431114942046
75,0.860707976425058
76,0.858988280741124
77,0.857272021011458
78,0.855559190371019
79,0.853849781968482
80,0.852143788966212
81,0.850441204540234
82,0.848742021880207
83,0.8470462341894
84,0.84535383468466
85,0.843664816596384
86,0.841979173168501
87,0.840296897658432
88,0.838617983337075
89,0.836942423488769
90,0.835270211411273
91,0.833601340415736
92,0.831935803826673
93,0.830273594981934
94,0.828614707232681
95,0.826959133943363
96,0.825306868491683
97,0.823657904268578
98,0.822012234678187
99,0.820369853137832
100,0.818730753077983
101,0.817094927942237
102,0.815462371187293
103,0.813833076282922
104,0.81220703671194
105,0.810584245970188
106,0.808964697566501
107,0.807348385022682
108,0.805735301873481
109,0.804125441666561
110,0.802518797962479
111,0.80091536433466
112,0.799315134369366
113,0.797718101665675
114,0.796124259835455
115,0.794533602503335
116,0.792946123306684
117,0.791361815895585
118,0.789780673932803
119,0.788202691093771
120,0.786627861066554
121,0.78505617755183
122,0.783487634262863
123,0.781922224925478
124,0.780359943278035
125,0.778800783071406
126,0.777244738068947
127,0.775691802046477
128,0.774141968792249
129,0.772595232106929
130,0.771051585803567
131,0.769511023707577
132,0.767973539656707
133,0.76643912750102
134,0.764907781102865
135,0.763379494336854
136,0.761854261089838
137,0.760332075260883
138,0.758812930761242
139,0.757296821514336
140,0.755783741455726
141,0.75427368453309
142,0.752766644706197
143,0.751262615946887
144,0.749761592239042
145,0.748263567578566
146,0.746768535973358
147,0.74527649144329
148,0.743787428020181
149,0.742301339747775
150,0.740818220681719
151,0.739338064889533
152,0.737860866450592
153,0.736386619456101
154,0.73491531800907
155,0.73344695622429
156,0.731981528228314
157,0.730519028159426
158,0.729059450167625
159,0.727602788414597
160,0.726149037073692
161,0.724698190329904
162,0.723250242379844
163,0.721805187431717
164,0.720363019705303
165,0.718923733431927
166,0.717487322854444
167,0.71605378222721
168,0.714623105816059
169,0.713195287898284
170,0.711770322762611
171,0.710348204709178
172,0.708928928049512
173,0.707512487106503
174,0.706098876214386
175,0.704688089718715
176,0.703280121976342
177,0.701874967355395
178,0.700472620235254
179,0.699073075006527
180,0.697676326071032
181,0.696282367841772
182,0.694891194742912
183,0.693502801209757
184,0.692117181688732
185,0.690734330637356
186,0.689354242524224
187,0.68797691182898
188,0.686602333042302
189,0.685230500665871
190,0.683861409212357
191,0.682495053205391
192,0.681131427179548
193,0.679770525680322
194,0.678412343264105
195,0.677056874498166
196,0.675704113960627
197,0.674354056240445
198,0.673006695937388
199,0.671662027662011
200,0.670320046035641
201,0.668980745690348
202,0.66764412126893
203,0.666310167424888
204,0.664978878822403
205,0.663650250136321
206,0.662324276052124
207,0.661000951265914
208,0.65968027048439
209,0.658362228424828
210,0.657046819815058
211,0.655734039393443
212,0.65442388190886
213,0.653116342120677
214,0.651811414798733
215,0.650509094723318
216,0.649209376685149
217,0.647912255485352
218,0.646617725935441
219,0.645325782857296
220,0.644036421083143
221,0.642749635455532
222,0.641465420827321
223,0.640183772061648
